[921,SPRIGATITO]
[922,FLORAGATO]
[923,MEOWSCARADA]
[924,FUECOCO]
[925,CROCALOR]
[926,SKELEDIRGE]
[927,QUAXLY]
[928,QUAXWELL]
[929,QUAQUAVAL]
[930,LECHONK]
[931,OINKOLOGNE]
[932,TAROUNTULA]
[933,SPIDOPS]
[934,NYMBLE]
[935,LOKIX]
[936,PAWMI]
[937,PAWMO]
[938,PAWMOT]
[939,CLODSIRE]
[940,TANDEMAUS]
[941,MAUSHOLD]
[942,FIDOUGH]
[943,DACHSBUN]
[944,SMOLIV]
[945,DOLLIV]
[946,ARBOLIVA]
[947,SQUAWKABILLY]
[948,NACLI]
[949,NACLSTACK]
[950,GARGANACL]
[951,ANNIHILAPE]
[952,CHARCADET]
[953,ARMAROUGE]
[954,CERULEDGE]
[955,TADBULB]
[956,BELLIBOLT]
[957,WATTREL]
[958,KILOWATTREL]
[959,DUDUNSPARCE]
[960,FARIGIRAF]
[961,MASCHIFF]
[962,MABOSSTIFF]
[963,SHROODLE]
[964,GRAFAIAI]
[965,BRAMBLIN]
[966,BRAMBLEGHAST]
[967,TOEDSCOOL]
[968,TOEDSCRUEL]
[969,KLAWF]
[970,CAPSAKID]
[971,SCOVILLAIN]
[972,RELLOR]
[973,RABSCA]
[974,FLITTLE]
[975,ESPATHRA]
[976,TINKATINK]
[977,TINKATUFF]
[978,TINKATON]
[979,WIGLETT]
[980,WUGTRIO]
[981,BOMBIRDIER]
[982,FINIZEN]
[983,PALAFIN]
[984,VAROOM]
[985,REVAVROOM]
[986,CYCLIZAR]
[987,ORTHWORM]
[988,GLIMMET]
[989,GLIMMORA]
[990,GREAVARD]
[991,HOUNDSTONE]
[992,FLAMIGO]
[993,CETODDLE]
[994,CETITAN]
[995,KINGAMBIT]
[996,VELUZA]
[997,DONDOZO]
[998,TATSUGIRI]
[999,GREATTUSK]
[1000,SCREAMTAIL]
[1001,BRUTEBONNET]
[1002,FLUTTERMANE]
[1003,SLITHERWING]
[1004,SANDYSHOCKS]
[1005,IRONTREADS]
[1006,IRONBUNDLE]
[1007,IRONHANDS]
[1008,IRONJUGULIS]
[1009,IRONMOTH]
[1010,IRONTHORNS]
[1011,FRIGIBAX]
[1012,ARCTIBAX]
[1013,BAXCALIBUR]
[1014,GIMMIGHOUL]
[1015,GHOLDENGO]
[1016,WOCHIEN]
[1017,CHIENPAO]
[1018,TINGLU]
[1019,CHIYU]
[1020,ROARINGMOON]
[1021,IRONVALIANT]
[1022,KORAIDON]
[1023,MIRAIDON]
[1024,WALKINGWAKE]
[1025,IRONLEAVES]
[1026,DIPPLIN]
[1027,POLTCHAGEIST]
[1028,SINISTCHA]
[1029,OKIDOGI]
[1030,MUNKIDORI]
[1031,FEZANDIPITI]
[1032,OGERPON]
[1033,ARCHALUDON]
[1034,HYDRAPPLE]
[1035,GOUGINGFIRE]
[1036,RAGINGBOLT]
[1037,IRONBOULDER]
[1038,IRONCROWN]
[1039,TERAPAGOS]
[1040,PECHARUNT]
